Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14),Value (15),Value (16),Value (17),Value (18),Value (19),Value (20),Value (21),Value (22),Value (23),Value (24),Value (25),Value (26),Value (27),Value (28),Value (29),Value (30),Value (31),Value (32),Value (33),Value (34),Value (35)
id,638dc68d-c793-4e62-8d00-45a00ee27df2,43630673-e290-4a2c-9060-79effdfad541,90041d37-8eea-40f8-bc4c-162749f0fe6f,52dda1b6-c2a3-462f-9331-6d5412a27e16,bd6b7f65-d605-45ec-af4d-d6659d1f16b9,3f459b32-ba03-4bc6-9888-050eb404f35b,6c61932e-2f87-4061-b747-fffebe54f8bb,cdac1fc8-7c01-4844-8f00-5c55fbd35c57,e9cc6c9e-f748-496c-ac67-116135c9d7e4,6a1be29e-bef9-40dd-b415-0483a0a0ca7f,3a767470-1898-4b92-a8b6-2ab9bd3d03db,4c4e032b-f19c-4a2c-9366-31aee28ba39a,d2a02d6b-cad2-4b14-ba5d-fe4a948c9afd,c37d164e-9acf-44e7-818f-40e0d905413a,7bb7f905-73f3-4bfe-af55-2b82985ee53b,fec0877d-ca36-4c8f-b57d-c5ebcae7a421,42839bc8-6170-4cdd-aaf3-cc77437f92e4,cf874cea-4f40-4f15-a092-11eb51135ff2,e3cd7913-d4cd-4657-8ed1-ffb6cbdfcf0b,79b482c2-858e-4b4b-8c4f-adc5e1756bf5,a3f9bc6e-0d76-4596-a629-017e1bf15252,12bcb95e-0ef7-46c6-aa25-2de7588d8037,47bc640f-29d0-40d7-8fb1-754d659d757d,0f15da39-f11d-4e4d-b277-89569fddca98,60b0bac3-4f60-4b45-8f55-52ad49183dc9,089dcea7-77d2-4823-8a6c-7f90bcc1b6ec,589dc34a-8d35-4e83-920f-3a8aa5418b30,18c532d7-df16-45f0-bcd3-478cb458932e,22a4c307-fad1-4226-b791-3889bb05094a,dc824124-e506-4660-93a7-9537486988b4,8545ce70-71ef-4a39-8a3e-4f373c5324de,efa05285-2cb7-4cc6-80a6-73f9d68be34c,0ae95a04-6ebe-45ec-b9d7-01759a9c793b,b6949dfd-667c-4d6e-af5d-7ae11a391ef4,cd7ad73c-6c7f-409a-9b38-9790691947b0
character_id,4d336bab-bf71-4b26-bf8a-e038820b0afb,4d336bab-bf71-4b26-bf8a-e038820b0afb,4d336bab-bf71-4b26-bf8a-e038820b0afb,4d336bab-bf71-4b26-bf8a-e038820b0afb,00719aee-c86a-4c89-822a-8476fac00957,00719aee-c86a-4c89-822a-8476fac00957,00719aee-c86a-4c89-822a-8476fac00957,00719aee-c86a-4c89-822a-8476fac00957,b355b2c9-c9ee-484f-a15b-fbbf12d14b9c,b355b2c9-c9ee-484f-a15b-fbbf12d14b9c,b355b2c9-c9ee-484f-a15b-fbbf12d14b9c,753fad00-8d9d-4097-bb27-8685d1eddcd0,4d336bab-bf71-4b26-bf8a-e038820b0afb,4d336bab-bf71-4b26-bf8a-e038820b0afb,753fad00-8d9d-4097-bb27-8685d1eddcd0,753fad00-8d9d-4097-bb27-8685d1eddcd0,753fad00-8d9d-4097-bb27-8685d1eddcd0,753fad00-8d9d-4097-bb27-8685d1eddcd0,753fad00-8d9d-4097-bb27-8685d1eddcd0,b355b2c9-c9ee-484f-a15b-fbbf12d14b9c,b355b2c9-c9ee-484f-a15b-fbbf12d14b9c,b355b2c9-c9ee-484f-a15b-fbbf12d14b9c,00719aee-c86a-4c89-822a-8476fac00957,00719aee-c86a-4c89-822a-8476fac00957,f1ab2d92-30cf-40c8-8abe-a8f36b3632a8,753fad00-8d9d-4097-bb27-8685d1eddcd0,4d336bab-bf71-4b26-bf8a-e038820b0afb,00719aee-c86a-4c89-822a-8476fac00957,b355b2c9-c9ee-484f-a15b-fbbf12d14b9c,f1ab2d92-30cf-40c8-8abe-a8f36b3632a8,f1ab2d92-30cf-40c8-8abe-a8f36b3632a8,f1ab2d92-30cf-40c8-8abe-a8f36b3632a8,f1ab2d92-30cf-40c8-8abe-a8f36b3632a8,f1ab2d92-30cf-40c8-8abe-a8f36b3632a8,f1ab2d92-30cf-40c8-8abe-a8f36b3632a8
name,CB R1,CB R3,CB SR1,CB SSR,PN SR1,PN R1,PN R2,PN SSR,LA R1,LA R2,LA R3,dq r3,CB R2,CB SR2,dq sr2,dq ssr,ĐQ R1,đq r2,dq sr1,LA SR1,LA SR2,LA SSR,PN R3,PN SR2,Thái Lê Minh Hiếu UR01,Hồ Đông Quan UR01,Cường Bạch UR01,Phúc Nguyên UR01,Lâm Anh UR01,mh ssr,mh r1,mh r2,mh r3,mh sr1,mh sr2 
tier,R,R,SR,SSR,SR,R,R,SSR,R,R,R,R,R,SR,SR,SSR,R,R,SR,SR,SR,SSR,R,SR,UR,UR,UR,UR,UR,SSR,R,R,R,SR,SR
image_url,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855050348/Cường Bạch_R1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855077151/Cường Bạch_R3.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855094838/Cường Bạch_SR1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855109915/Cường Bạch_SSR.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855318440/Phúc Nguyên_SR1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855327641/Phúc Nguyên_R1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855335337/Phúc Nguyên_R2.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855370302/Phúc Nguyên_SSR.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855237968/Lâm Anh_R1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855247517/Lâm Anh_R2.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855256884/Lâm Anh_R3.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855184827/Hồ Đông Quan_R3.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855063725/Cường Bạch_R2.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855123332/Cường Bạch_SR2.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855160157/Hồ Đông Quan_SR2.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855172479/Hồ Đông Quan_SSR.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855194095/Hồ Đông Quan_R1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855201794/Hồ Đông Quan_R2.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855216049/Hồ Đông Quan_SR1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855272850/Lâm Anh_SR1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855286477/Lâm Anh_SR2.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855295005/Lâm Anh_SSR.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855344216/Phúc Nguyên_R3.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855355798/Phúc Nguyên_SR2.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355309151/UR_Thái Lê Minh Hiếu.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355284268/UR_Đông Quan.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355206906/UR_Cường Bạch.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355240999/UR_Phúc Nguyên.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355269192/UR_Lâm Anh.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855443834/Thái Lê Minh Hiếu_SSR.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855393428/Thái Lê Minh Hiếu_R1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855404796/Thái Lê Minh Hiếu_R2.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855413767/Thái Lê Minh Hiếu_R3.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855422605/Thái Lê Minh Hiếu_SR1.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/08/1767855435917/Thái Lê Minh Hiếu_SR2.png
image_blur_url,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982274890/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982289098/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982295904/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982311415/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982356276/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982334911/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982342163/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982370709/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982412498/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982645078/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982671599/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982936596/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982282489/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982303852/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982993479/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766983017735/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982898000/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982919132/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982956525/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982692592/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982712739/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982740416/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982348959/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766982363390/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355314929/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355291302/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355215836/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355249228/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2026/01/02/1767355257363/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766983234396/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766983139942/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766983158133/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766983175085/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766983195223/Group 145.png,https://prd-assets.onstudio.vn/mangoplus-e888902d-9a5c-461f-a04c-b8d4dfcc8888/thumbnails/2025/12/29/1766983215678/Group 145.png
created_at,2025-12-29 04:15:43.488000 +00:00,2025-12-29 04:16:13.469000 +00:00,2025-12-29 04:16:28.514000 +00:00,2025-12-29 04:17:07.569000 +00:00,2025-12-29 04:22:21.589000 +00:00,2025-12-29 04:21:05.748000 +00:00,2025-12-29 04:21:51.444000 +00:00,2025-12-29 04:22:55.881000 +00:00,2025-12-29 04:26:53.920000 +00:00,2025-12-29 04:30:47.486000 +00:00,2025-12-29 04:31:13.113000 +00:00,2025-12-29 04:35:38.125000 +00:00,2025-12-29 04:15:57.864000 +00:00,2025-12-29 04:16:42.597000 +00:00,2025-12-29 04:36:35.151000 +00:00,2025-12-29 04:37:00.921000 +00:00,2025-12-29 04:34:59.369000 +00:00,2025-12-29 04:35:20.550000 +00:00,2025-12-29 04:35:58.034000 +00:00,2025-12-29 04:31:33.869000 +00:00,2025-12-29 04:31:54.340000 +00:00,2025-12-29 04:32:22.318000 +00:00,2025-12-29 04:22:08.766000 +00:00,2025-12-29 04:22:38.476000 +00:00,2026-01-02 12:01:56.690000 +00:00,2026-01-02 12:01:33.024000 +00:00,2026-01-02 12:00:17.752000 +00:00,2026-01-02 12:00:50.833000 +00:00,2026-01-02 12:01:11.213000 +00:00,2025-12-29 04:40:35.692000 +00:00,2025-12-29 04:39:01.749000 +00:00,2025-12-29 04:39:19.744000 +00:00,2025-12-29 04:39:36.714000 +00:00,2025-12-29 04:39:56.689000 +00:00,2025-12-29 04:40:17.069000 +00:00
updated_at,2026-01-08 06:50:52.987000 +00:00,2026-01-08 06:51:18.824000 +00:00,2026-01-08 06:51:37.475000 +00:00,2026-01-08 06:51:52.244000 +00:00,2026-01-08 06:55:20.545000 +00:00,2026-01-08 06:55:29.190000 +00:00,2026-01-08 06:55:36.482000 +00:00,2026-01-08 06:56:11.767000 +00:00,2026-01-08 06:54:00.325000 +00:00,2026-01-08 06:54:09.017000 +00:00,2026-01-08 06:54:18.292000 +00:00,2026-01-08 06:53:06.260000 +00:00,2026-01-08 06:51:05.736000 +00:00,2026-01-08 06:52:04.952000 +00:00,2026-01-08 06:52:43.126000 +00:00,2026-01-08 06:52:54.110000 +00:00,2026-01-08 06:53:15.560000 +00:00,2026-01-08 06:53:23.359000 +00:00,2026-01-08 06:53:37.584000 +00:00,2026-01-08 06:54:34.960000 +00:00,2026-01-08 06:54:47.946000 +00:00,2026-01-08 06:54:56.356000 +00:00,2026-01-08 06:55:45.792000 +00:00,2026-01-08 06:55:57.370000 +00:00,2026-01-02 14:08:36.486000 +00:00,2026-01-02 14:16:16.452000 +00:00,2026-01-02 14:08:02.308000 +00:00,2026-01-02 14:08:11.232000 +00:00,2026-01-02 14:08:19.479000 +00:00,2026-01-08 06:57:25.384000 +00:00,2026-01-08 06:56:35.176000 +00:00,2026-01-08 06:56:46.448000 +00:00,2026-01-08 06:56:55.097000 +00:00,2026-01-08 06:57:04.822000 +00:00,2026-01-08 06:57:17.674000 +00:00
is_deleted,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
